City ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
201,Karwar,IN,77.72,overcast clouds,14.8,74.1333,Netalco Connects
202,Mingaora,PK,76.5,broken clouds,34.7758,72.3625,Burj Al Swat
208,Lasa,IT,81.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
213,Kavieng,PG,81.72,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
220,Aljezur,PT,82.49,broken clouds,37.3191,-8.8033,Amazigh Hostel
221,Cefalu,IT,87.55,clear sky,38.0386,14.0229,Hotel La Giara
224,Kota Belud,MY,76.69,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
225,Conceicao Da Barra,BR,77.38,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
226,Kinshasa,CD,86.5,broken clouds,-4.3246,15.3215,Star Hotel II
227,Miranda,CO,81.64,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
229,Pak Phanang,TH,78.91,few clouds,8.3511,100.202,Green Park Inn Hotel
233,Guerrero Negro,MX,77.0,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
235,Sechura,PE,77.29,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
236,Cabo San Lucas,MX,89.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
237,Yiyang,CN,82.78,light rain,28.5892,112.3283,Tongcheng International Hotel
238,Bell Ville,AR,77.61,scattered clouds,-32.6259,-62.6887,Hotel Central
239,Little Current,CA,75.25,overcast clouds,45.9793,-81.9248,Hawberry Motel
242,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
243,Villamontes,BO,89.06,broken clouds,-21.25,-63.5,Hotel Raldes
244,Jiuquan,CN,77.25,broken clouds,39.7432,98.5174,Jiuquan Hotel
246,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
247,Sahaspur,IN,86.22,overcast clouds,29.1333,78.6167,Mujeeb Ahmd
248,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
258,Cordoba,AR,76.24,few clouds,-31.4135,-64.1811,Hotel Sussex
259,Sorong,ID,77.68,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
262,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
274,Pathein,MM,79.68,overcast clouds,16.7833,94.7333,Pathein Hotel
275,Muros,ES,78.67,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
278,Erzin,TR,79.74,clear sky,36.9559,36.2,Artemis Otel
280,Sao Filipe,CV,75.67,moderate rain,14.8961,-24.4956,Hotel Xaguate
281,Ouesso,CG,75.31,light rain,1.6136,16.0517,ABENIE Hotel
286,Jatai,BR,86.83,broken clouds,-17.8814,-51.7144,Hotel Califórnia
291,Bud,US,86.9,broken clouds,39.447,-86.1758,Ted McQuinn Trust
292,Lubao,PH,82.11,overcast clouds,14.9167,120.55,Hacienda Gracia
293,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
296,Pemangkat,ID,78.31,overcast clouds,1.1667,108.9667,Ramah Kost KITA
298,Batticaloa,LK,81.03,overcast clouds,7.7102,81.6924,Grand Star Guest House
300,Fairmont,US,89.91,overcast clouds,39.4851,-80.1426,Clarion Inn
304,Nanchang,CN,85.42,scattered clouds,28.6833,115.8833,Ruidu Hotel
306,Yinchuan,CN,75.74,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
307,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
309,Mundwa,IN,84.45,overcast clouds,27.0667,73.8167,Mahadev Guest House
311,Caravelas,BR,76.24,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
313,Auki,SB,76.66,clear sky,-8.7676,160.7034,Auki Motel
320,North Vernon,US,88.29,broken clouds,39.0062,-85.6236,Quality Inn North Vernon near Hwy 50
322,Amahai,ID,75.54,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
325,Pailon,BO,89.28,clear sky,-17.65,-62.75,La plaza
333,Bardiyah,LY,81.3,clear sky,31.7561,25.0865,بورتو بردية
340,Rayachoti,IN,80.98,heavy intensity rain,14.05,78.75,ANNAMAYYA FAMILY RESTAURANT
342,Kirakira,SB,77.65,few clouds,-10.4544,161.9205,SanBiz Lodge
344,Yanam,IN,79.12,overcast clouds,16.7333,82.2167,The Regency Hotel
347,Kasongo,CD,82.27,broken clouds,-4.45,26.6667,Guest Hôtel
351,Galle,LK,78.66,overcast clouds,6.0367,80.217,Amangalla
352,Teutonia,BR,82.31,moderate rain,-29.4481,-51.8064,Baviera Park Hotel
356,Esmeraldas,BR,78.91,clear sky,-19.7625,-44.3139,Forasteiro Pousada
357,Torbay,CA,86.77,scattered clouds,47.6666,-52.7314,Gallows Cove
358,Isangel,VU,75.76,clear sky,-19.55,169.2667,Tanna Lodge
363,Gwadar,PK,82.38,light rain,25.1216,62.3254,Sadaf Resort
367,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
370,Spearfish,US,83.66,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
372,Itarema,BR,84.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
373,Dong Hoi,VN,78.15,clear sky,17.4833,106.6,Nam Long Hotel
374,Tarakan,ID,79.95,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
376,Amnat Charoen,TH,78.51,light rain,15.9167,104.75,หอพักนักศึกษา
378,Dingle,PH,76.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
379,Buala,SB,79.39,light rain,-8.145,159.5921,Maringe Lagoon Lodge
381,Camacha,PT,78.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
384,Sibolga,ID,75.94,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
386,Shenjiamen,CN,77.18,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
